OX457036.1_t_gene1_mRNA1	OX457036.1_48527-57342
OX457036.1_t_gene416_mRNA533	OX457036.1_13448632-13455293
OX457036.1_t_gene417_mRNA534	OX457036.1_13471317-13484648
OX457036.1_t_gene418_mRNA535	OX457036.1_13484649-13489920
OX457036.1_t_gene419_mRNA536	OX457036.1_13489921-13495000
OX457036.1_t_gene420_mRNA537	OX457036.1_13509933-13519995
OX457036.1_t_gene421_mRNA539	OX457036.1_13542148-13575880
OX457036.1_t_gene422_mRNA540	OX457036.1_13588725-13594276
OX457036.1_t_gene423_mRNA541	OX457036.1_13594277-13597795
OX457036.1_t_gene424_mRNA542	OX457036.1_13597796-13601442
OX457036.1_t_gene425_mRNA543	OX457036.1_13602291-13606653
OX457036.1_t_gene426_mRNA544	OX457036.1_13606654-13620185
OX457036.1_t_gene427_mRNA545	OX457036.1_13620186-13637090
OX457036.1_t_gene428_mRNA546	OX457036.1_13649447-13654211
OX457036.1_t_gene429_mRNA547	OX457036.1_13654212-13663222
OX457036.1_t_gene430_mRNA548	OX457036.1_13663223-13669050
OX457036.1_t_gene431_mRNA550	OX457036.1_13669051-13674619
OX457036.1_t_gene432_mRNA552	OX457036.1_13690936-13710923
OX457036.1_t_gene433_mRNA553	OX457036.1_13730446-13746164
OX457036.1_t_gene434_mRNA554	OX457036.1_13757095-13762171
OX457036.1_t_gene435_mRNA555	OX457036.1_13762172-13772308
OX457036.1_t_gene436_mRNA556	OX457036.1_13781917-13788153
OX457036.1_t_gene437_mRNA557	OX457036.1_13789961-13796199
OX457036.1_t_gene438_mRNA558	OX457036.1_13803857-13809189
OX457036.1_t_gene439_mRNA559	OX457036.1_13824923-13828734
OX457036.1_t_gene440_mRNA560	OX457036.1_13828735-13832416
OX457036.1_t_gene441_mRNA561	OX457036.1_13839972-13854769
OX457036.1_t_gene442_mRNA562	OX457036.1_13870276-13874827
OX457036.1_t_gene443_mRNA564	OX457036.1_13874828-13885540
OX457036.1_t_gene444_mRNA565	OX457036.1_13896500-13901787
OX457036.1_t_gene445_mRNA566	OX457036.1_13901788-13906868
OX457036.1_t_gene446_mRNA567	OX457036.1_13906869-13911761
OX457036.1_t_gene447_mRNA568	OX457036.1_13911762-13923073
OX457036.1_t_gene448_mRNA569	OX457036.1_13938149-13944448
OX457036.1_t_gene449_mRNA570	OX457036.1_13944449-13948241
OX457036.1_t_gene450_mRNA571	OX457036.1_13948589-13958158
OX457036.1_t_gene451_mRNA572	OX457036.1_13971119-13979252
OX457036.1_t_gene452_mRNA573	OX457036.1_13993297-14006787
OX457036.1_t_gene453_mRNA574	OX457036.1_14015801-14024889
OX457036.1_t_gene454_mRNA575	OX457036.1_14025900-14034688
OX457036.1_t_gene455_mRNA576	OX457036.1_14059811-14066711
OX457036.1_t_gene456_mRNA577	OX457036.1_14067138-14072509
OX457036.1_t_gene457_mRNA578	OX457036.1_14073007-14081927
OX457036.1_t_gene458_mRNA579	OX457036.1_14083016-14091980
OX457036.1_t_gene459_mRNA582	OX457036.1_14092369-14102667
OX457036.1_t_gene460_mRNA583	OX457036.1_14110130-14128285
OX457036.1_t_gene461_mRNA584	OX457036.1_14128286-14139268
OX457036.1_t_gene462_mRNA585	OX457036.1_14139269-14142384
OX457036.1_t_gene463_mRNA586	OX457036.1_14142385-14150398
OX457036.1_t_gene464_mRNA587	OX457036.1_14159928-14166516
OX457036.1_t_gene465_mRNA588	OX457036.1_14175532-14192429
OX457036.1_t_gene466_mRNA589	OX457036.1_14205695-14222459
OX457036.1_t_gene467_mRNA590	OX457036.1_14222460-14225892
OX457036.1_t_gene468_mRNA591	OX457036.1_14267287-14273060
OX457036.1_t_gene469_mRNA592	OX457036.1_14277997-14289514
OX457036.1_t_gene470_mRNA593	OX457036.1_14290677-14299721
OX457036.1_t_gene471_mRNA598	OX457036.1_14313501-14330986
OX457036.1_t_gene473_mRNA600	OX457036.1_14356708-14364214
OX457036.1_t_gene474_mRNA601	OX457036.1_14364215-14373980
OX457036.1_t_gene475_mRNA602	OX457036.1_14379625-14388287
OX457036.1_t_gene476_mRNA603	OX457036.1_14392406-14404202
OX457036.1_t_gene477_mRNA604	OX457036.1_14429797-14443130
OX457036.1_t_gene478_mRNA605	OX457036.1_14461152-14466403
OX457036.1_t_gene479_mRNA606	OX457036.1_14473081-14492232
OX457036.1_t_gene480_mRNA607	OX457036.1_14492233-14497299
OX457036.1_t_gene481_mRNA609	OX457036.1_14513472-14521008
OX457036.1_t_gene482_mRNA610	OX457036.1_14545906-14556390
OX457036.1_t_gene483_mRNA613	OX457036.1_14573534-14579868
OX457036.1_t_gene484_mRNA615	OX457036.1_14609593-14636959
OX457036.1_t_gene485_mRNA616	OX457036.1_14636960-14645208
OX457036.1_t_gene486_mRNA617	OX457036.1_14645209-14654114
OX457036.1_t_gene487_mRNA618	OX457036.1_14656204-14668619
OX457036.1_t_gene488_mRNA619	OX457036.1_14668637-14689997
OX457036.1_t_gene489_mRNA620	OX457036.1_14702303-14705945
OX457036.1_t_gene490_mRNA621	OX457036.1_14705946-14715358
OX457036.1_t_gene491_mRNA623	OX457036.1_14749863-14764227
OX457036.1_t_gene492_mRNA624	OX457036.1_14771332-14776941
OX457036.1_t_gene493_mRNA625	OX457036.1_14783001-14800947
OX457036.1_t_gene494_mRNA626	OX457036.1_14811673-14827446
OX457036.1_t_gene495_mRNA627	OX457036.1_14838905-14866925
OX457036.1_t_gene496_mRNA628	OX457036.1_14875824-14882428
OX457036.1_t_gene497_mRNA629	OX457036.1_14882429-14887436
OX457036.1_t_gene498_mRNA630	OX457036.1_14894627-14901045
OX457036.1_t_gene499_mRNA631	OX457036.1_14906144-14911983
OX457036.1_t_gene500_mRNA632	OX457036.1_14921870-14932479
OX457036.1_t_gene501_mRNA633	OX457036.1_14957536-14968224
OX457036.1_t_gene502_mRNA634	OX457036.1_14981346-14987357
OX457036.1_t_gene503_mRNA635	OX457036.1_14988838-14993571
OX457036.1_t_gene504_mRNA636	OX457036.1_14993572-15013047
OX457036.1_t_gene505_mRNA637	OX457036.1_15032110-15044241
OX457036.1_t_gene506_mRNA638	OX457036.1_15044242-15064010
OX457036.1_t_gene507_mRNA639	OX457036.1_15064011-15066499
OX457036.1_t_gene508_mRNA640	OX457036.1_15066500-15069563
OX457036.1_t_gene509_mRNA642	OX457036.1_15069564-15089574
OX457036.1_t_gene510_mRNA643	OX457036.1_15123179-15129410
OX457036.1_t_gene511_mRNA645	OX457036.1_15137753-15146556
OX457036.1_t_gene512_mRNA646	OX457036.1_15158677-15193903
OX457036.1_t_gene513_mRNA647	OX457036.1_15197718-15206715
OX457036.1_t_gene514_mRNA648	OX457036.1_15213772-15223152
OX457036.1_t_gene515_mRNA649	OX457036.1_15223479-15233660
OX457036.1_t_gene516_mRNA650	OX457036.1_15241512-15258529
OX457036.1_t_gene517_mRNA651	OX457036.1_15262093-15271109
OX457036.1_t_gene518_mRNA652	OX457036.1_15276907-15280693
OX457036.1_t_gene519_mRNA653	OX457036.1_15280694-15292968
OX457036.1_t_gene520_mRNA655	OX457036.1_15335162-15348987
OX457036.1_t_gene521_mRNA657	OX457036.1_15350434-15378742
OX457036.1_t_gene522_mRNA658	OX457036.1_15382172-15393407
OX457036.1_t_gene523_mRNA659	OX457036.1_15396679-15413245
OX457036.1_t_gene524_mRNA660	OX457036.1_15413246-15425296
OX457036.1_t_gene525_mRNA661	OX457036.1_15466614-15490650
OX457036.1_t_gene526_mRNA662	OX457036.1_15524934-15534743
OX457036.1_t_gene527_mRNA663	OX457036.1_15534744-15551221
OX457036.1_t_gene528_mRNA664	OX457036.1_15551222-15559522
OX457036.1_t_gene529_mRNA665	OX457036.1_15559523-15569284
OX457036.1_t_gene530_mRNA666	OX457036.1_15605973-15617701
OX457036.1_t_gene531_mRNA667	OX457036.1_15619757-15631432
OX457036.1_t_gene532_mRNA668	OX457036.1_15631433-15635224
OX457036.1_t_gene533_mRNA669	OX457036.1_15648400-15656275
OX457036.1_t_gene534_mRNA670	OX457036.1_15667663-15678817
OX457036.1_t_gene535_mRNA671	OX457036.1_15679762-15689423
OX457036.1_t_gene536_mRNA672	OX457036.1_15689424-15692016
OX457036.1_t_gene537_mRNA673	OX457036.1_15692017-15697322
OX457036.1_t_gene538_mRNA674	OX457036.1_15721843-15734082
OX457036.1_t_gene539_mRNA675	OX457036.1_15742348-15745876
OX457036.1_t_gene540_mRNA676	OX457036.1_15745877-15750281
OX457036.1_t_gene541_mRNA678	OX457036.1_15750987-15765769
OX457036.1_t_gene542_mRNA679	OX457036.1_15776588-15783847
OX457036.1_t_gene543_mRNA680	OX457036.1_15784730-15799164
OX457036.1_t_gene544_mRNA681	OX457036.1_15799165-15808392
OX457036.1_t_gene545_mRNA683	OX457036.1_15809203-15818678
OX457036.1_t_gene546_mRNA684	OX457036.1_15822346-15832525
OX457036.1_t_gene547_mRNA685	OX457036.1_15832526-15847546
OX457036.1_t_gene548_mRNA686	OX457036.1_15849091-15856449
OX457036.1_t_gene549_mRNA687	OX457036.1_15865698-15871891
OX457036.1_t_gene550_mRNA688	OX457036.1_15897477-15904571
OX457036.1_t_gene551_mRNA689	OX457036.1_15907760-15923899
OX457036.1_t_gene552_mRNA690	OX457036.1_15925049-15930997
OX457036.1_t_gene553_mRNA691	OX457036.1_15938733-15945307
OX457036.1_t_gene554_mRNA692	OX457036.1_15945308-15950870
OX457036.1_t_gene555_mRNA693	OX457036.1_15950871-15962876
OX457036.1_t_gene556_mRNA700	OX457036.1_16004025-16014033
OX457036.1_t_gene557_mRNA701	OX457036.1_16029826-16043888
OX457036.1_t_gene558_mRNA702	OX457036.1_16064194-16078380
OX457036.1_t_gene559_mRNA704	OX457036.1_16078381-16085000
OX457036.1_t_gene560_mRNA705	OX457036.1_16110064-16156047
OX457036.1_t_gene561_mRNA706	OX457036.1_16160511-16170864
OX457036.1_t_gene562_mRNA707	OX457036.1_16171894-16175642
OX457036.1_t_gene563_mRNA708	OX457036.1_16175643-16179849
OX457036.1_t_gene564_mRNA709	OX457036.1_16185229-16190204
OX457036.1_t_gene565_mRNA710	OX457036.1_16190205-16193336
OX457036.1_t_gene566_mRNA711	OX457036.1_16193337-16203896
OX457036.1_t_gene567_mRNA714	OX457036.1_16218716-16244266
OX457036.1_t_gene568_mRNA715	OX457036.1_16277390-16292370
OX457036.1_t_gene569_mRNA716	OX457036.1_16295240-16301789
OX457036.1_t_gene570_mRNA717	OX457036.1_16303384-16314512
OX457036.1_t_gene571_mRNA718	OX457036.1_16319223-16330199
OX457036.1_t_gene572_mRNA719	OX457036.1_16345315-16362379
OX457036.1_t_gene573_mRNA720	OX457036.1_16407684-16410565
OX457036.1_t_gene574_mRNA721	OX457036.1_16410566-16412480
OX457036.1_t_gene575_mRNA722	OX457036.1_16412481-16418883
OX457036.1_t_gene576_mRNA724	OX457036.1_16419137-16423734
OX457036.1_t_gene577_mRNA725	OX457036.1_16423735-16427588
OX457036.1_t_gene578_mRNA726	OX457036.1_16428588-16436113
OX457036.1_t_gene579_mRNA727	OX457036.1_16436539-16445183
OX457036.1_t_gene580_mRNA728	OX457036.1_16445184-16445728
OX457036.1_t_gene581_mRNA729	OX457036.1_16445729-16449359
OX457036.1_t_gene582_mRNA730	OX457036.1_16468790-16482049
OX457036.1_t_gene583_mRNA731	OX457036.1_16482050-16490699
OX457036.1_t_gene584_mRNA732	OX457036.1_16491313-16495315
OX457036.1_t_gene585_mRNA733	OX457036.1_16495316-16503463
OX457036.1_t_gene586_mRNA734	OX457036.1_16511887-16552190
OX457036.1_t_gene587_mRNA735	OX457036.1_16552191-16556001
OX457036.1_t_gene588_mRNA736	OX457036.1_16556002-16563838
OX457036.1_t_gene589_mRNA737	OX457036.1_16563839-16573315
OX457036.1_t_gene590_mRNA738	OX457036.1_16574519-16582312
OX457036.1_t_gene591_mRNA739	OX457036.1_16600202-16609093
OX457036.1_t_gene592_mRNA740	OX457036.1_16614279-16630396
OX457036.1_t_gene593_mRNA741	OX457036.1_16643179-16655152
OX457036.1_t_gene594_mRNA742	OX457036.1_16659872-16667858
OX457036.1_t_gene595_mRNA743	OX457036.1_16686436-16698916
OX457036.1_t_gene596_mRNA744	OX457036.1_16708386-16718233
OX457036.1_t_gene597_mRNA745	OX457036.1_16718234-16723570
OX457036.1_t_gene598_mRNA746	OX457036.1_16723571-16730080
OX457036.1_t_gene599_mRNA747	OX457036.1_16731342-16734506
OX457036.1_t_gene600_mRNA748	OX457036.1_16734507-16744106
OX457036.1_t_gene601_mRNA749	OX457036.1_16766561-16793833
OX457036.1_t_gene602_mRNA750	OX457036.1_16803748-16813341
OX457036.1_t_gene603_mRNA751	OX457036.1_16813342-16817285
OX457036.1_t_gene604_mRNA752	OX457036.1_16817286-16823059
OX457036.1_t_gene605_mRNA753	OX457036.1_16823060-16830006
OX457036.1_t_gene606_mRNA754	OX457036.1_16834395-16844838
OX457036.1_t_gene607_mRNA755	OX457036.1_16845093-16860117
OX457036.1_t_gene608_mRNA756	OX457036.1_16861153-16883042
OX457036.1_t_gene609_mRNA757	OX457036.1_16885573-16929287
OX457036.1_t_gene610_mRNA758	OX457036.1_16929288-16936079
OX457036.1_t_gene611_mRNA759	OX457036.1_16958336-16962778
OX457036.1_t_gene612_mRNA760	OX457036.1_16962779-16968096
OX457036.1_t_gene613_mRNA761	OX457036.1_16968097-16972791
OX457036.1_t_gene614_mRNA762	OX457036.1_16978735-16983905
OX457036.1_t_gene615_mRNA763	OX457036.1_16993700-17012939
OX457036.1_t_gene616_mRNA764	OX457036.1_17038544-17042977
OX457036.1_t_gene617_mRNA765	OX457036.1_17042978-17057198
OX457036.1_t_gene618_mRNA766	OX457036.1_17057757-17070104
OX457036.1_t_gene619_mRNA767	OX457036.1_17073623-17079359
OX457036.1_t_gene620_mRNA768	OX457036.1_17088496-17094833
OX457036.1_t_gene621_mRNA769	OX457036.1_17094834-17130276
OX457036.1_t_gene622_mRNA770	OX457036.1_17180798-17190424
OX457036.1_t_gene623_mRNA771	OX457036.1_17190425-17193814
OX457036.1_t_gene624_mRNA773	OX457036.1_17211031-17223422
OX457036.1_t_gene625_mRNA774	OX457036.1_17225842-17257380
OX457036.1_t_gene626_mRNA775	OX457036.1_17257381-17271171
OX457036.1_t_gene627_mRNA776	OX457036.1_17283413-17290215
OX457036.1_t_gene628_mRNA777	OX457036.1_17300668-17307438
OX457036.1_t_gene629_mRNA778	OX457036.1_17307439-17320345
OX457036.1_t_gene630_mRNA779	OX457036.1_17340347-17346340
OX457036.1_t_gene631_mRNA780	OX457036.1_17348930-17377096
OX457036.1_t_gene632_mRNA781	OX457036.1_17378010-17381863
OX457036.1_t_gene633_mRNA782	OX457036.1_17381864-17389156
OX457036.1_t_gene634_mRNA786	OX457036.1_17389157-17394487
OX457036.1_t_gene635_mRNA793	OX457036.1_17427601-17447361
OX457036.1_t_gene636_mRNA794	OX457036.1_17480539-17484738
OX457036.1_t_gene637_mRNA795	OX457036.1_17484739-17489180
OX457036.1_t_gene638_mRNA796	OX457036.1_17489181-17491263
OX457036.1_t_gene639_mRNA797	OX457036.1_17491264-17497067
OX457036.1_t_gene640_mRNA798	OX457036.1_17497068-17525209
OX457036.1_t_gene641_mRNA799	OX457036.1_17525416-17529649
OX457036.1_t_gene642_mRNA800	OX457036.1_17529650-17541578
OX457036.1_t_gene643_mRNA801	OX457036.1_17541579-17553464
OX457036.1_t_gene644_mRNA802	OX457036.1_17576957-17596129
OX457036.1_t_gene645_mRNA803	OX457036.1_17596130-17619797
OX457036.1_t_gene646_mRNA804	OX457036.1_17619798-17629289
OX457036.1_t_gene647_mRNA805	OX457036.1_17629290-17632389
OX457036.1_t_gene648_mRNA806	OX457036.1_17632390-17634549
OX457036.1_t_gene649_mRNA807	OX457036.1_17634550-17639074
OX457036.1_t_gene650_mRNA809	OX457036.1_17650779-17656065
OX457036.1_t_gene651_mRNA811	OX457036.1_17656066-17669137
OX457036.1_t_gene652_mRNA812	OX457036.1_17690517-17697873
OX457036.1_t_gene653_mRNA813	OX457036.1_17697874-17736475
OX457036.1_t_gene654_mRNA814	OX457036.1_17736476-17744507
OX457036.1_t_gene655_mRNA815	OX457036.1_17744508-17750240
OX457036.1_t_gene656_mRNA816	OX457036.1_17773285-17778702
OX457036.1_t_gene657_mRNA817	OX457036.1_17778703-17800386
OX457036.1_t_gene658_mRNA818	OX457036.1_17804612-17832891
OX457036.1_t_gene659_mRNA819	OX457036.1_17832892-17835219
OX457036.1_t_gene660_mRNA820	OX457036.1_17835220-17838511
OX457036.1_t_gene661_mRNA821	OX457036.1_17838512-17848100
OX457036.1_t_gene662_mRNA823	OX457036.1_17849842-17853785
OX457036.1_t_gene663_mRNA824	OX457036.1_17853786-17857449
OX457036.1_t_gene664_mRNA825	OX457036.1_17857450-17863139
OX457036.1_t_gene665_mRNA826	OX457036.1_17870422-17878721
OX457036.1_t_gene666_mRNA828	OX457036.1_17881579-17891459
OX457036.1_t_gene667_mRNA829	OX457036.1_17895940-17904324
OX457036.1_t_gene668_mRNA830	OX457036.1_17904325-17916103
OX457036.1_t_gene669_mRNA831	OX457036.1_17917368-17926050
OX457036.1_t_gene670_mRNA832	OX457036.1_17943433-17970371
OX457036.1_t_gene671_mRNA833	OX457036.1_17977925-17990479
OX457036.1_t_gene672_mRNA834	OX457036.1_17990480-18009219
OX457036.1_t_gene673_mRNA835	OX457036.1_18035626-18051537
OX457036.1_t_gene674_mRNA836	OX457036.1_18086687-18092283
OX457036.1_t_gene675_mRNA837	OX457036.1_18099522-18106521
OX457036.1_t_gene676_mRNA838	OX457036.1_18106522-18118908
OX457036.1_t_gene677_mRNA839	OX457036.1_18119255-18129507
OX457036.1_t_gene678_mRNA840	OX457036.1_18129508-18145745
OX457036.1_t_gene679_mRNA841	OX457036.1_18151241-18157362
OX457036.1_t_gene680_mRNA842	OX457036.1_18173736-18182127
OX457036.1_t_gene681_mRNA843	OX457036.1_18193378-18208400
OX457036.1_t_gene682_mRNA844	OX457036.1_18208401-18213272
OX457036.1_t_gene683_mRNA845	OX457036.1_18213273-18217334
OX457036.1_t_gene684_mRNA846	OX457036.1_18217335-18223985
OX457036.1_t_gene685_mRNA847	OX457036.1_18226235-18236992
OX457036.1_t_gene686_mRNA848	OX457036.1_18248797-18273089
OX457036.1_t_gene687_mRNA850	OX457036.1_18303080-18311177
OX457036.1_t_gene688_mRNA851	OX457036.1_18314004-18319600
OX457036.1_t_gene689_mRNA852	OX457036.1_18319750-18332099
OX457036.1_t_gene690_mRNA853	OX457036.1_18333914-18343558
OX457036.1_t_gene691_mRNA854	OX457036.1_18347632-18363188
OX457036.1_t_gene692_mRNA855	OX457036.1_18368432-18374725
OX457036.1_t_gene693_mRNA856	OX457036.1_18374726-18387789
OX457036.1_t_gene694_mRNA857	OX457036.1_18388625-18398051
OX457036.1_t_gene695_mRNA858	OX457036.1_18403548-18423733
OX457036.1_t_gene696_mRNA859	OX457036.1_18423734-18444918
OX457036.1_t_gene697_mRNA860	OX457036.1_18445006-18469774
OX457036.1_t_gene698_mRNA861	OX457036.1_18469775-18472430
OX457036.1_t_gene699_mRNA862	OX457036.1_18472431-18483238
OX457036.1_t_gene700_mRNA863	OX457036.1_18483239-18487988
OX457036.1_t_gene701_mRNA864	OX457036.1_18490013-18495933
OX457036.1_t_gene702_mRNA865	OX457036.1_18520711-18544069
OX457036.1_t_gene703_mRNA866	OX457036.1_18548246-18557004
OX457036.1_t_gene704_mRNA867	OX457036.1_18578939-18598050
OX457036.1_t_gene705_mRNA868	OX457036.1_18606613-18630301
OX457036.1_t_gene706_mRNA869	OX457036.1_18634893-18645146
OX457036.1_t_gene707_mRNA870	OX457036.1_18649297-18664011
OX457036.1_t_gene708_mRNA871	OX457036.1_18670706-18685076
OX457036.1_t_gene709_mRNA872	OX457036.1_18685077-18698817
OX457036.1_t_gene710_mRNA873	OX457036.1_18699987-18707110
OX457036.1_t_gene711_mRNA874	OX457036.1_18714840-18723699
OX457036.1_t_gene712_mRNA875	OX457036.1_18741742-18756855
OX457036.1_t_gene713_mRNA876	OX457036.1_18757194-18762727
OX457036.1_t_gene714_mRNA877	OX457036.1_18787858-18791001
OX457036.1_t_gene715_mRNA878	OX457036.1_18791002-18794585
OX457036.1_t_gene716_mRNA879	OX457036.1_18814412-18819692
OX457036.1_t_gene717_mRNA880	OX457036.1_18819693-18824972
OX457036.1_t_gene718_mRNA881	OX457036.1_18851171-18863394
OX457036.1_t_gene719_mRNA884	OX457036.1_18863395-18876185
OX457036.1_t_gene720_mRNA885	OX457036.1_18887258-18898379
OX457036.1_t_gene721_mRNA887	OX457036.1_18920784-18944557
OX457036.1_t_gene722_mRNA892	OX457036.1_18964235-18982405
OX457036.1_t_gene723_mRNA893	OX457036.1_18992801-19001152
OX457036.1_t_gene724_mRNA899	OX457036.1_19002118-19008622
OX457036.1_t_gene725_mRNA900	OX457036.1_19014548-19023900
OX457036.1_t_gene726_mRNA901	OX457036.1_19028984-19045696
OX457036.1_t_gene727_mRNA902	OX457036.1_19045697-19054285
OX457036.1_t_gene728_mRNA903	OX457036.1_19069987-19075760
OX457036.1_t_gene729_mRNA904	OX457036.1_19078166-19090109
OX457036.1_t_gene730_mRNA905	OX457036.1_19123375-19174501
OX457036.1_t_gene731_mRNA906	OX457036.1_19184589-19199970
OX457036.1_t_gene732_mRNA907	OX457036.1_19201741-19216956
OX457036.1_t_gene734_mRNA909	OX457036.1_19234486-19242311
OX457036.1_t_gene735_mRNA910	OX457036.1_19245273-19257938
OX457036.1_t_gene736_mRNA911	OX457036.1_19259196-19266349
OX457036.1_t_gene737_mRNA912	OX457036.1_19266350-19287811
OX457036.1_t_gene738_mRNA913	OX457036.1_19290309-19301273
OX457036.1_t_gene739_mRNA914	OX457036.1_19331754-19340591
OX457036.1_t_gene740_mRNA915	OX457036.1_19352598-19358042
OX457036.1_t_gene741_mRNA916	OX457036.1_19375258-19389260
OX457036.1_t_gene742_mRNA917	OX457036.1_19397477-19402824
OX457036.1_t_gene743_mRNA918	OX457036.1_19416703-19429774
OX457036.1_t_gene744_mRNA919	OX457036.1_19434406-19465854
OX457036.1_t_gene745_mRNA920	OX457036.1_19465999-19481124
OX457036.1_t_gene746_mRNA921	OX457036.1_19495634-19522370
OX457036.1_t_gene747_mRNA922	OX457036.1_19575809-19597338
OX457036.1_t_gene748_mRNA923	OX457036.1_19597339-19603525
OX457036.1_t_gene749_mRNA924	OX457036.1_19606015-19611206
OX457036.1_t_gene750_mRNA925	OX457036.1_19634823-19670659
OX457036.1_t_gene751_mRNA926	OX457036.1_19682132-19695097
OX457036.1_t_gene752_mRNA927	OX457036.1_19695098-19726186
OX457036.1_t_gene753_mRNA930	OX457036.1_19741846-19780645
OX457036.1_t_gene754_mRNA931	OX457036.1_19831417-19836891
OX457036.1_t_gene755_mRNA932	OX457036.1_19946272-19956472
OX457036.1_t_gene756_mRNA936	OX457036.1_19968702-19976704
OX457036.1_t_gene757_mRNA937	OX457036.1_20014884-20024764
OX457036.1_t_gene758_mRNA938	OX457036.1_20874278-20879847
OX457036.1_t_gene759_mRNA939	OX457036.1_21024839-21033036
OX457036.1_t_gene760_mRNA940	OX457036.1_21870796-21876338
OX457036.1_t_gene761_mRNA941	OX457036.1_21899425-21905537
OX457036.1_t_gene762_mRNA942	OX457036.1_22448217-22453918
OX457036.1_t_gene763_mRNA944	OX457036.1_22646754-22652369
OX457036.1_t_gene764_mRNA945	OX457036.1_23014763-23023715
OX457036.1_t_gene765_mRNA947	OX457036.1_23350448-23361725
OX457036.1_t_gene766_mRNA952	OX457036.1_23369716-23379574
OX457036.1_t_gene767_mRNA959	OX457036.1_23422898-23431191
OX457036.1_t_gene768_mRNA963	OX457036.1_23456961-23465364
OX457036.1_t_gene769_mRNA967	OX457036.1_23835216-23840872
OX457036.1_t_gene770_mRNA968	OX457036.1_23859566-23866468
OX457036.1_t_gene771_mRNA969	OX457036.1_23995161-24004302
OX457036.1_t_gene772_mRNA971	OX457036.1_24144200-24149529
OX457036.1_t_gene773_mRNA972	OX457036.1_24185298-24196717
OX457036.1_t_gene774_mRNA974	OX457036.1_24350866-24359031
OX457036.1_t_gene775_mRNA975	OX457036.1_24728671-24738350
OX457036.1_t_gene776_mRNA976	OX457036.1_24987573-24994002
OX457036.1_t_gene777_mRNA977	OX457036.1_25435247-25446260
OX457036.1_t_gene778_mRNA982	OX457036.1_25792046-25802337
OX457036.1_t_gene779_mRNA986	OX457036.1_26328057-26333628
OX457036.1_t_gene780_mRNA988	OX457036.1_26514270-26519841
OX457036.1_t_gene781_mRNA990	OX457036.1_26836721-26846819
OX457036.1_t_gene782_mRNA991	OX457036.1_26922410-26933575
OX457036.1_t_gene783_mRNA999	OX457036.1_27091011-27096485
OX457036.1_t_gene784_mRNA1000	OX457036.1_27259032-27264696
OX457036.1_t_gene785_mRNA1001	OX457036.1_27266481-27272145
OX457036.1_t_gene786_mRNA1002	OX457036.1_27572518-27579794
OX457036.1_t_gene787_mRNA1003	OX457036.1_27588715-27596275
OX457036.1_t_gene788_mRNA1005	OX457036.1_27596276-27600203
OX457036.1_t_gene789_mRNA1007	OX457036.1_27665595-27671269
OX457036.1_t_gene790_mRNA1008	OX457036.1_27810307-27816032
OX457036.1_t_gene791_mRNA1009	OX457036.1_28613730-28619341
OX457036.1_t_gene792_mRNA1010	OX457036.1_28880419-28888208
OX457036.1_t_gene793_mRNA1017	OX457036.1_29160526-29167921
OX457036.1_t_gene794_mRNA1018	OX457036.1_29490440-29497599
OX457036.1_t_gene795_mRNA1019	OX457036.1_29573542-29579333
OX457036.1_t_gene796_mRNA1020	OX457036.1_29596060-29606609
OX457036.1_t_gene797_mRNA1023	OX457036.1_29606854-29612425
OX457036.1_t_gene798_mRNA1025	OX457036.1_29696757-29702596
OX457036.1_t_gene799_mRNA1026	OX457036.1_29952059-29958075
OX457036.1_t_gene800_mRNA1027	OX457036.1_30002033-30007536
OX457036.1_t_gene801_mRNA1028	OX457036.1_30140557-30146091
OX457036.1_t_gene802_mRNA1029	OX457036.1_30438612-30445202
OX457036.1_t_gene803_mRNA1030	OX457036.1_30446959-30515442
OX457036.1_t_gene804_mRNA1033	OX457036.1_30593970-30599365
OX457036.1_t_gene805_mRNA1034	OX457036.1_30602779-30611575
OX457036.1_t_gene806_mRNA1036	OX457036.1_30757140-30763267
OX457036.1_t_gene807_mRNA1039	OX457036.1_30903084-30908655
OX457036.1_t_gene808_mRNA1041	OX457036.1_30957571-30964933
OX457036.1_t_gene809_mRNA1042	OX457036.1_31001542-31007654
OX457036.1_t_gene810_mRNA1043	OX457036.1_31074367-31080836
OX457036.1_t_gene811_mRNA1044	OX457036.1_31080837-31085596
OX457036.1_t_gene812_mRNA1045	OX457036.1_31440190-31447427
OX457036.1_t_gene813_mRNA1046	OX457036.1_31481582-31487694
OX457036.1_t_gene814_mRNA1047	OX457036.1_31761548-31766877
OX457036.1_t_gene815_mRNA1048	OX457036.1_31982116-31992214
OX457036.1_t_gene816_mRNA1049	OX457036.1_32276790-32287980
OX457036.1_t_gene817_mRNA1051	OX457036.1_33001443-33006915
OX457036.1_t_gene818_mRNA1053	OX457036.1_33007679-33014634
OX457036.1_t_gene819_mRNA1054	OX457036.1_33390137-33399483
OX457036.1_t_gene820_mRNA1056	OX457036.1_33651354-33662914
OX457036.1_t_gene821_mRNA1064	OX457036.1_33783318-33790050
OX457036.1_t_gene822_mRNA1069	OX457036.1_34268139-34273411
OX457036.1_t_gene823_mRNA1070	OX457036.1_34294258-34299683
OX457036.1_t_gene824_mRNA1071	OX457036.1_34359932-34366677
OX457036.1_t_gene825_mRNA1072	OX457036.1_34424547-34430173
OX457036.1_t_gene826_mRNA1073	OX457036.1_34703652-34712857
